snapshot_ts_utc,snapshot_date,asset,expiration,tier,schwab_symbol,strike,pm_yes,pm_n_ticks,pm_asof,opt_prob,spot,diff,liquid,pm_bid,pm_ask,pm_spread,pm_one_sided,liquid_basis
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,280.0,0.991,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.2400251605039777,False,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,285.0,0.9885,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.2375251605039777,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,290.0,0.98,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.2290251605039777,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,295.0,0.9755,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.2245251605039777,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,300.0,0.966,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.2150251605039776,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,305.0,0.91,2,2026-07-09T14:32:05+00:00,0.7509748394960223,311.82,0.1590251605039777,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,310.0,0.665,2,2026-07-09T14:32:05+00:00,0.6659662505689616,311.82,-0.0009662505689616,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,315.0,0.26,2,2026-07-09T14:32:05+00:00,0.2800282929361999,311.82,-0.0200282929361999,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,320.0,0.075,2,2026-07-09T14:32:05+00:00,0.0640064669568456,311.82,0.0109935330431543,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,325.0,0.031,2,2026-07-09T14:32:05+00:00,0.0120012125544085,311.82,0.0189987874455914,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,330.0,0.018,2,2026-07-09T14:32:05+00:00,0.0040004041848028,311.82,0.0139995958151971,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,335.0,0.0105,2,2026-07-09T14:32:05+00:00,0.0020002020924014,311.82,0.0084997979075985,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-10,exact,AAPL,340.0,0.005,2,2026-07-09T14:32:05+00:00,-0.0,311.82,0.005,False,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,220.0,0.9655,2,2026-07-09T14:32:07+00:00,0.991982196987259,311.83,-0.0264821969872589,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,230.0,0.9595,2,2026-07-09T14:32:07+00:00,0.991982196987259,311.83,-0.0324821969872589,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,240.0,0.96,2,2026-07-09T14:32:07+00:00,0.9909799716106664,311.83,-0.0309799716106664,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,250.0,0.9565,2,2026-07-09T14:32:07+00:00,0.9859688447277032,311.83,-0.0294688447277032,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,260.0,0.961,2,2026-07-09T14:32:07+00:00,0.9829621685979254,311.83,-0.0219621685979254,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,270.0,0.93,2,2026-07-09T14:32:07+00:00,0.9639198864426656,311.83,-0.0339198864426656,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,280.0,0.905,2,2026-07-09T14:32:07+00:00,0.9248330967555536,311.83,-0.0198330967555534,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,290.0,0.475,2,2026-07-09T14:32:07+00:00,0.8526728696408847,311.83,-0.3776728696408847,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,300.0,0.655,2,2026-07-09T14:32:07+00:00,0.7063479646583621,311.83,-0.0513479646583621,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,310.0,0.5,2,2026-07-09T14:32:07+00:00,0.5590208342992471,311.83,-0.059020834299247,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,320.0,0.49,2,2026-07-09T14:32:07+00:00,0.3988856998838631,311.83,0.0911143001161369,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,330.0,0.1655,2,2026-07-09T14:32:07+00:00,0.2214918082269692,311.83,-0.0559918082269692,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AAPL,2026-07-31,exact,AAPL,340.0,0.077,2,2026-07-09T14:32:07+00:00,0.1022269884124473,311.83,-0.0252269884124473,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,215.0,0.8995,2,2026-07-09T14:32:09+00:00,0.9959995958151971,240.69,-0.0964995958151971,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,220.0,0.9655,2,2026-07-09T14:32:09+00:00,0.9959995958151971,240.69,-0.0304995958151971,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,225.0,0.9755,2,2026-07-09T14:32:09+00:00,0.9939993937227956,240.69,-0.0184993937227956,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,230.0,0.955,2,2026-07-09T14:32:09+00:00,0.9639963623367744,240.69,-0.0089963623367743,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,235.0,0.85,2,2026-07-09T14:32:09+00:00,0.8479846409774915,240.69,0.0020153590225084,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,240.0,0.56,2,2026-07-09T14:32:09+00:00,0.5699565501336931,240.69,-0.009956550133693,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,245.0,0.2,2,2026-07-09T14:32:09+00:00,0.2240226343489599,240.69,-0.0240226343489598,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,250.0,0.05,2,2026-07-09T14:32:09+00:00,0.0500050523100356,240.69,-5.052310035690011e-06,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,255.0,0.0245,2,2026-07-09T14:32:09+00:00,0.0100010104620071,240.69,0.0144989895379928,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,260.0,0.022,2,2026-07-09T14:32:09+00:00,0.0020002020924014,240.69,0.0199997979075985,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,265.0,0.019,2,2026-07-09T14:32:09+00:00,0.0020002020924014,240.69,0.0169997979075985,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,270.0,0.0315,2,2026-07-09T14:32:09+00:00,0.0,240.69,0.0315,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-10,exact,AMZN,275.0,0.007,2,2026-07-09T14:32:09+00:00,-0.0,240.69,0.007,False,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,170.0,0.968,2,2026-07-09T14:32:12+00:00,0.9719376894554066,240.69,-0.0039376894554066,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,180.0,0.9765,2,2026-07-09T14:32:12+00:00,0.9719376894554066,240.69,0.0045623105445934,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,190.0,0.505,2,2026-07-09T14:32:12+00:00,0.9719376894554066,240.69,-0.4669376894554066,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,200.0,0.495,2,2026-07-09T14:32:12+00:00,0.9438753789108132,240.69,-0.4488753789108132,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,210.0,0.505,2,2026-07-09T14:32:12+00:00,0.8977730115875526,240.69,-0.3927730115875526,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,220.0,0.5,2,2026-07-09T14:32:12+00:00,0.8165927560835504,240.69,-0.3165927560835504,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,230.0,0.505,2,2026-07-09T14:32:12+00:00,0.6462144420628049,240.69,-0.1412144420628048,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,240.0,0.5,2,2026-07-09T14:32:12+00:00,0.5189318192355419,240.69,-0.0189318192355418,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,250.0,0.505,2,2026-07-09T14:32:12+00:00,0.353785557937195,240.69,0.1512144420628049,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,260.0,0.505,2,2026-07-09T14:32:12+00:00,0.2224940336035618,240.69,0.2825059663964381,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,270.0,0.52,2,2026-07-09T14:32:12+00:00,0.1222714959442997,240.69,0.3977285040557002,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,280.0,0.5,2,2026-07-09T14:32:12+00:00,0.0781735793742244,240.69,0.4218264206257756,False,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,AMZN,2026-07-31,exact,AMZN,290.0,0.04,2,2026-07-09T14:32:12+00:00,0.0320712120509638,240.69,0.0079287879490361,True,,,,,current_book_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,330.0,0.9755,2,2026-07-09T14:32:14+00:00,0.8939892891027243,351.64,0.0815107108972756,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,335.0,0.976,2,2026-07-09T14:32:14+00:00,0.8939892891027243,351.64,0.0820107108972756,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,340.0,0.944,2,2026-07-09T14:32:14+00:00,0.8939892891027243,351.64,0.0500107108972756,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,345.0,0.8545,2,2026-07-09T14:32:14+00:00,0.7899787802978501,351.64,0.0645212197021499,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,350.0,0.67,2,2026-07-09T14:32:14+00:00,0.5899585710577073,351.64,0.0800414289422927,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,355.0,0.48,2,2026-07-09T14:32:14+00:00,0.3600363766322569,351.64,0.119963623367743,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,360.0,0.235,2,2026-07-09T14:32:14+00:00,0.1620163694845156,351.64,0.0729836305154843,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,365.0,0.215,2,2026-07-09T14:32:14+00:00,0.0600060627720428,351.64,0.1549939372279571,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,370.0,0.12,2,2026-07-09T14:32:14+00:00,0.0180018188316128,351.64,0.1019981811683871,True,,,,,volume_backfill
2026-07-09T14:25:05+00:00,2026-07-09,GOOGL,2026-07-10,exact,GOOGL,375.0,0.06,2,2026-07-09T14:32:14+00:00,0.0080008083696057,351.64,0.0519991916303942,True,,,,,volume_backfill
